title,description,text,category,pubDate,link
Scottish bakery Morton's Rolls 'ceases trading',Companies House said it could strike off the bakery after it missed a deadline to file accounts.,Scottish bakery Morton's Rolls 'ceases trading'. Companies House said it could strike off the bakery after it missed a deadline to file accounts.,business,"Sat, 04 Mar 2023 16:17:19 GMT",https://www.bbc.co.uk/news/uk-scotland-scotland-business-64834929?at_medium=RSS&at_campaign=KARANGA
"'Big and painful' cuts needed to fix budget, says IFS","Public spending needs to fall by £60bn to balance the books if tax cuts go ahead, a think tank warns.","'Big and painful' cuts needed to fix budget, says IFS. Public spending needs to fall by £60bn to balance the books if tax cuts go ahead, a think tank warns.",business,"Mon, 10 Oct 2022 23:03:31 GMT",https://www.bbc.co.uk/news/business-63203095?at_medium=RSS&at_campaign=KARANGA
Why inflation is falling but prices are still rising,We report this percentage every month but here are three things you may not know.,Why inflation is falling but prices are still rising. We report this percentage every month but here are three things you may not know.,business,"Thu, 19 Jan 2023 00:04:18 GMT",https://www.bbc.co.uk/news/business-64290160?at_medium=RSS&at_campaign=KARANGA
Rail strike: When could it be and which lines would be affected?,Railway workers have voted to go on strike over pay and jobs.,Rail strike: When could it be and which lines would be affected?. Railway workers have voted to go on strike over pay and jobs.,business,"Tue, 07 Jun 2022 19:14:03 GMT",https://www.bbc.co.uk/news/business-61634959?at_medium=RSS&at_campaign=KARANGA
Train strikes: When are the next walkouts?,Members of the Aslef train drivers' union are taking more action in its long-running dispute over pay.,Train strikes: When are the next walkouts?. Members of the Aslef train drivers' union are taking more action in its long-running dispute over pay.,business,"Mon, 15 Jan 2024 12:20:21 GMT",https://www.bbc.co.uk/news/business-61634959?at_medium=RSS&at_campaign=KARANGA
Chip shortage: Has Europe's plan arrived too late?,The European Union is investing billions of euros in developing a world-beating chip industry.,Chip shortage: Has Europe's plan arrived too late?. The European Union is investing billions of euros in developing a world-beating chip industry.,business,"Fri, 01 Apr 2022 00:30:00 GMT",https://www.bbc.co.uk/news/business-60554228?at_medium=RSS&at_campaign=KARANGA
Plans to cut energy bills if peak-time use avoided,How homes can get discounts if they use less electricity at peak times are close to being announced.,Plans to cut energy bills if peak-time use avoided. How homes can get discounts if they use less electricity at peak times are close to being announced.,business,"Sun, 21 Aug 2022 19:28:25 GMT",https://www.bbc.co.uk/news/business-62626908?at_medium=RSS&at_campaign=KARANGA
First cost-of-living payments start to arrive in accounts,"The first £326 payment will be paid by the end of July, the government has said.","First cost-of-living payments start to arrive in accounts. The first £326 payment will be paid by the end of July, the government has said.",business,"Wed, 13 Jul 2022 23:14:03 GMT",https://www.bbc.co.uk/news/business-62148490?at_medium=RSS&at_campaign=KARANGA
Wet weather dampened clothing sales in July,UK retail sales growth slowed to 1.5% in July after rain put shoppers off buying summery items.,Wet weather dampened clothing sales in July. UK retail sales growth slowed to 1.5% in July after rain put shoppers off buying summery items.,business,"Mon, 07 Aug 2023 23:01:24 GMT",https://www.bbc.co.uk/news/business-66429307?at_medium=RSS&at_campaign=KARANGA
Train strikes: When is the next action happening?,"Train drivers are set to strike again, and London Underground staff are also taking action.","Train strikes: When is the next action happening?. Train drivers are set to strike again, and London Underground staff are also taking action.",business,"Mon, 25 Sep 2023 15:59:40 GMT",https://www.bbc.co.uk/news/business-61634959?at_medium=RSS&at_campaign=KARANGA
Fewer trains to run from London to Manchester,Avanti is to run a reduced service between London to Manchester on Saturdays until the end of the year.,Fewer trains to run from London to Manchester. Avanti is to run a reduced service between London to Manchester on Saturdays until the end of the year.,business,"Sun, 29 Oct 2023 21:19:45 GMT",https://www.bbc.co.uk/news/business-67257969?at_medium=RSS&at_campaign=KARANGA
Skipton launches deposit-free mortgage aimed at renters,"The product requires a good credit history, but does not need the financial backing of family or friends.","Skipton launches deposit-free mortgage aimed at renters. The product requires a good credit history, but does not need the financial backing of family or friends.",business,"Tue, 09 May 2023 09:11:06 GMT",https://www.bbc.co.uk/news/business-65498421?at_medium=RSS&at_campaign=KARANGA
Hauliers want priority for perishable goods at Dover,They say deliveries of produce such as meat are losing quality and value amid long waits at the port.,Hauliers want priority for perishable goods at Dover. They say deliveries of produce such as meat are losing quality and value amid long waits at the port.,business,"Sat, 09 Apr 2022 23:00:06 GMT",https://www.bbc.co.uk/news/business-61053402?at_medium=RSS&at_campaign=KARANGA
Robotaxi tech improves but can they make money?,"Despite setbacks, robotaxi services from Cruise and Waymo are making progress, but will they make money?","Robotaxi tech improves but can they make money?. Despite setbacks, robotaxi services from Cruise and Waymo are making progress, but will they make money?",business,"Fri, 03 Mar 2023 00:03:46 GMT",https://www.bbc.co.uk/news/business-64742934?at_medium=RSS&at_campaign=KARANGA
Odey firm to be broken up after harassment claims against its founder,The hedge fund will be dismantled after allegations emerged about its founder Crispin Odey.,Odey firm to be broken up after harassment claims against its founder. The hedge fund will be dismantled after allegations emerged about its founder Crispin Odey.,business,"Thu, 15 Jun 2023 11:13:40 GMT",https://www.bbc.co.uk/news/business-65915676?at_medium=RSS&at_campaign=KARANGA
Train and tube strikes: What are the dates and where is affected?,"Thousands of rail workers are striking in August in an ongoing row over pay, jobs and conditions.","Train and tube strikes: What are the dates and where is affected?. Thousands of rail workers are striking in August in an ongoing row over pay, jobs and conditions.",business,"Tue, 16 Aug 2022 15:29:23 GMT",https://www.bbc.co.uk/news/business-61634959?at_medium=RSS&at_campaign=KARANGA
"Baby formula soaring costs: 'I struggle, but I won’t buy a cheaper brand'",Why struggling parents aren't choosing cheaper brands when it comes to infant formula milk.,"Baby formula soaring costs: 'I struggle, but I won’t buy a cheaper brand'. Why struggling parents aren't choosing cheaper brands when it comes to infant formula milk.",business,"Sat, 02 Dec 2023 23:56:51 GMT",https://www.bbc.co.uk/news/business-67571610?at_medium=RSS&at_campaign=KARANGA
Kwasi Kwarteng considers scrapping bankers’ bonus cap to boost City,The new chancellor believes removing a cap on bankers' bonuses could boost growth in the City.,Kwasi Kwarteng considers scrapping bankers’ bonus cap to boost City. The new chancellor believes removing a cap on bankers' bonuses could boost growth in the City.,business,"Wed, 14 Sep 2022 21:58:00 GMT",https://www.bbc.co.uk/news/business-62906854?at_medium=RSS&at_campaign=KARANGA
Silicon Valley Bank: Is the UK right to bail out tech firms?,There are questions over how far government should go to cover losses from Silicon Valley Bank collapse.,Silicon Valley Bank: Is the UK right to bail out tech firms?. There are questions over how far government should go to cover losses from Silicon Valley Bank collapse.,business,"Sun, 12 Mar 2023 17:49:44 GMT",https://www.bbc.co.uk/news/business-64934344?at_medium=RSS&at_campaign=KARANGA
Netflix cancels Meghan Markle animated series Pearl,The announcement comes as the streaming giant makes cost cuts after subscriber numbers fell.,Netflix cancels Meghan Markle animated series Pearl. The announcement comes as the streaming giant makes cost cuts after subscriber numbers fell.,business,"Mon, 02 May 2022 02:47:41 GMT",https://www.bbc.co.uk/news/business-61294978?at_medium=RSS&at_campaign=KARANGA
What is the energy price cap and how much are bills going up?,"As the new energy cap increases bills, firms must offer more help to customers who are struggling.","What is the energy price cap and how much are bills going up?. As the new energy cap increases bills, firms must offer more help to customers who are struggling.",business,"Wed, 03 Jan 2024 12:47:51 GMT",https://www.bbc.co.uk/news/business-58090533?at_medium=RSS&at_campaign=KARANGA
Couple 'horrified' at £110 Ryanair check-in fee,The airline has defended its decision to charge an elderly couple who had mistakenly downloaded the wrong tickets.,Couple 'horrified' at £110 Ryanair check-in fee. The airline has defended its decision to charge an elderly couple who had mistakenly downloaded the wrong tickets.,business,"Tue, 15 Aug 2023 15:22:03 GMT",https://www.bbc.co.uk/news/business-66500479?at_medium=RSS&at_campaign=KARANGA
When is the Budget and what will it mean for my money?,Chancellor Jeremy Hunt will set out the government's tax and spending plans in the spring Budget.,When is the Budget and what will it mean for my money?. Chancellor Jeremy Hunt will set out the government's tax and spending plans in the spring Budget.,business,"Fri, 23 Feb 2024 17:30:13 GMT",https://www.bbc.co.uk/news/business-68359756
OpenAI staff demand board resign over Sam Altman sacking,Almost all of the company's 770 staff have signed a letter calling on board members to go.,OpenAI staff demand board resign over Sam Altman sacking. Almost all of the company's 770 staff have signed a letter calling on board members to go.,business,"Mon, 20 Nov 2023 21:10:23 GMT",https://www.bbc.co.uk/news/business-67470876?at_medium=RSS&at_campaign=KARANGA
Food charity Fareshare's donations from supermarkets drop,"Demand for Fareshare’s help continues to grow, but there’s been a big fall from their biggest donors.","Food charity Fareshare's donations from supermarkets drop. Demand for Fareshare’s help continues to grow, but there’s been a big fall from their biggest donors.",business,"Mon, 03 Oct 2022 23:06:47 GMT",https://www.bbc.co.uk/news/business-63122864?at_medium=RSS&at_campaign=KARANGA
UK economy made stronger recovery during Covid,Revised official figures reveal that the UK grew at the end of 2021 rather than shrinking.,UK economy made stronger recovery during Covid. Revised official figures reveal that the UK grew at the end of 2021 rather than shrinking.,business,"Fri, 01 Sep 2023 14:42:01 GMT",https://www.bbc.co.uk/news/business-66680188?at_medium=RSS&at_campaign=KARANGA
Norway calls off gas strikes that risked UK supply,The Norwegian government has stepped in to stop strikes that threatened to suspend UK gas deliveries.,Norway calls off gas strikes that risked UK supply. The Norwegian government has stepped in to stop strikes that threatened to suspend UK gas deliveries.,business,"Tue, 05 Jul 2022 22:03:25 GMT",https://www.bbc.co.uk/news/business-62058512?at_medium=RSS&at_campaign=KARANGA
What is the energy price cap and how high could bills go?,"New PM Liz Truss is due to set out plans to help with energy bills, ahead of a sharp rise in prices.","What is the energy price cap and how high could bills go?. New PM Liz Truss is due to set out plans to help with energy bills, ahead of a sharp rise in prices.",business,"Tue, 06 Sep 2022 17:45:46 GMT",https://www.bbc.co.uk/news/business-58090533?at_medium=RSS&at_campaign=KARANGA
Europe faces tough decisions over nuclear power,"With high energy prices and disrupted gas supplies, European nations consider more nuclear power plants.","Europe faces tough decisions over nuclear power. With high energy prices and disrupted gas supplies, European nations consider more nuclear power plants.",business,"Thu, 20 Oct 2022 23:07:52 GMT",https://www.bbc.co.uk/news/business-63245112?at_medium=RSS&at_campaign=KARANGA
Cost of living: Saving money on our summer holiday,Millions of us are still determined to have a summer getaway but keeping an eye on spending.,Cost of living: Saving money on our summer holiday. Millions of us are still determined to have a summer getaway but keeping an eye on spending.,business,"Sat, 23 Jul 2022 23:30:13 GMT",https://www.bbc.co.uk/news/business-62132409?at_medium=RSS&at_campaign=KARANGA
